Thermocouple_datalogger_RevA 2017-06-01,,,,
Part,Value,Device,Package,Description
AGND-GND-CON,SOLDER_JUMPER_TRACESTANDARD,SOLDER_JUMPER_TRACESTANDARD,SJ_2S-TRACE,Solder jumper with trace
BUTTON1,,PUSHBUTTON_DPST_SMDSTANDARD,PUSHBUTTON_DPST_SMD,PUSHBUTTON DPST SMD
BUTTON2,,PUSHBUTTON_DPST_SMDSTANDARD,PUSHBUTTON_DPST_SMD,PUSHBUTTON DPST SMD
C8,22uF,CPOL-US0805,C0805_POL,"POLARIZED CAPACITOR, American symbol"
C23,10µF,CPOL-USB,PANASONIC_B,"POLARIZED CAPACITOR, American symbol"
C24,10µF,CPOL-USB,PANASONIC_B,"POLARIZED CAPACITOR, American symbol"
C30,0.01µF,CAP0805,805,Capacitor
C31,0.01µF,CAP0805,805,Capacitor
C32,0.01µF,CAP0805,805,Capacitor
C33,0.01µF,CAP0805,805,Capacitor
C34,0.01µF,CAP0805,805,Capacitor
C35,0.01µF,CAP0805,805,Capacitor
C36,0.01µF,CAP0805,805,Capacitor
C37,0.01µF,CAP0805,805,Capacitor
C40,0.1µF,CAP0805,805,Capacitor
C41,0.1µF,CAP0805,805,Capacitor
C42,0.1µF,CAP0805,805,Capacitor
C43,0.1µF,CAP0805,805,Capacitor
C44,0.1µF,CAP0805,805,Capacitor
C45,0.1µF,CAP0805,805,Capacitor
C46,0.1µF,CAP0805,805,Capacitor
C47,0.1µF,CAP0805,805,Capacitor
C48,0.1µF,CAP0805,805,Capacitor
C49,0.1µF,CAP0805,805,Capacitor
C51,0.1µF,CAP0805,805,Capacitor
C52,0.1µF,CAP0805,805,Capacitor
C54,0.1µF,CAP0805,805,Capacitor
CR1220_BATTERY,CR1220_BATTERY_HOLDERSMD,CR1220_BATTERY_HOLDERSMD,CR1220_BATTERY_HOLDER_SMD,CR1220 Battery Holder
DIGITAL_OUTPUT_0,TERMINAL-2PIN-2.54MM,TERMINAL-2PIN-2.54MM,TERMINAL-2PIN-2.54MM,"Terminal block 0.1 spacing"""
DIGITAL_OUTPUT_1,TERMINAL-2PIN-2.54MM,TERMINAL-2PIN-2.54MM,TERMINAL-2PIN-2.54MM,"Terminal block 0.1 spacing"""
DS3231M,DS3231MSOIC-8,DS3231MSOIC-8,DS3231M_SOIC8,DS3231M real time clock
INDUCTOR,10µH,INDUCTOR0805_TY,I_0805,Inductor
J1,AVR_SPI_PRG_62X3_LOCK,AVR_SPI_PRG_62X3_LOCK,2X3_LOCK,AVR ISP 6 Pin
JP1,FTDI_HEADER,PINHD-1X6LOCK,1X06-BIGLOCK,PIN HEADER
LED1,RED,LED0805,CHIPLED_0805,LEDs
LED2,GREEN,LED0805,CHIPLED_0805,LEDs
MAX0,MAX31855,MAX31855,SO08,"MAX31855 Thermocouple amplifier with cold junction compensation, SPI communication"
MAX1,MAX31855,MAX31855,SO08,"MAX31855 Thermocouple amplifier with cold junction compensation, SPI communication"
MAX2,MAX31855,MAX31855,SO08,"MAX31855 Thermocouple amplifier with cold junction compensation, SPI communication"
MAX3,MAX31855,MAX31855,SO08,"MAX31855 Thermocouple amplifier with cold junction compensation, SPI communication"
MAX4,MAX31855,MAX31855,SO08,"MAX31855 Thermocouple amplifier with cold junction compensation, SPI communication"
